model_name,model_type,training_data,imagenet_accuracy,perspective_accuracy,depth_accuracy,perspective_accuracy_human,depth_accuracy_human,uniqua_accuracy,uniqua_resize_accuracy,uniqua_padded_accuracy,uniqua_truncated_accuracy,uniqua_crop_square_accuracy,model_input_sizes
resnet18.a3_in1k,CNN,ImageNet 1k,68.252,49.24636175,57.68930523,48.93617021,64.89361702,53.93474088291747,56.49038461538461,57.09134615384615,53.125,55.52884615384615,160.0
resnet152.a3_in1k,CNN,ImageNet 1k,80.546,50.62370062,65.37861046,46.80851064,64.89361702,49.90403071017274,68.99038461538461,50.48076923076923,68.26923076923077,68.50961538461539,160.0
resnet101.a3_in1k,CNN,ImageNet 1k,79.814,51.03950104,62.56830601,53.19148936,65.95744681,51.24760076775432,71.51442307692308,65.625,70.55288461538461,74.27884615384616,160.0
resnet50.a3_in1k,CNN,ImageNet 1k,78.048,50.77962578,68.54020297,50.0,63.82978723,56.81381957773512,68.75,50.84134615384615,69.23076923076923,73.79807692307692,160.0
resnet34.a3_in1k,CNN,ImageNet 1k,72.97,49.87006237,61.67056987,51.06382979,62.76595745,50.8637236084453,54.92788461538461,57.21153846153846,54.92788461538461,53.84615384615385,160.0
vit_tiny_patch16_224.augreg_in21k_ft_in1k,Transformer,ImageNet21k,75.462,51.71517672,60.07025761,46.80851064,61.70212766,47.79270633397313,50.60096153846154,52.52403846153846,0.0,49.03846153846154,224.0
vit_small_patch16_224.augreg_in1k,Transformer,ImageNet 1k,78.848,51.63721414,66.97892272,60.63829787,61.70212766,54.12667946257198,56.37019230769231,51.5625,0.0,56.97115384615385,224.0
vit_small_patch16_224.augreg_in21k_ft_in1k,Transformer,ImageNet21k,81.386,49.11642412,72.75565964,46.80851064,64.89361702,51.631477927063344,54.44711538461539,54.56730769230769,0.0,50.0,224.0
vit_base_patch16_224.augreg_in21k_ft_in1k,Transformer,ImageNet21k,84.532,51.84511435,74.90241998,52.12765957,70.21276596,51.439539347408825,60.33653846153846,55.28846153846154,0.0,55.52884615384615,224.0
vit_large_patch16_224.augreg_in21k_ft_in1k,Transformer,ImageNet21k,85.836,51.76715177,78.1030445,50.0,70.21276596,52.39923224568138,62.5,59.61538461538461,0.0,66.10576923076923,224.0
beit_base_patch16_224.in22k_ft_in22k_in1k,Transformer,ImageNet21k,85.212,53.82016632,70.80405933,46.80851064,65.95744681,47.02495201535509,56.97115384615385,59.73557692307692,0.0,64.90384615384616,224.0
beitv2_base_patch16_224.in1k_ft_in1k,Transformer,ImageNet 1k,85.594,51.66320166,68.61826698,56.38297872,61.70212766,51.439539347408825,55.52884615384615,50.84134615384615,0.0,58.41346153846154,224.0
beitv2_base_patch16_224.in1k_ft_in22k_in1k,Transformer,ImageNet 1k,86.474,52.67671518,68.07181889,50.0,70.21276596,52.207293666026864,54.08653846153846,52.16346153846154,0.0,48.55769230769231,224.0
beit_base_patch16_384.in22k_ft_in22k_in1k,Transformer,ImageNet21k,86.8,51.79313929,72.59953162,53.19148936,68.08510638,53.16698656429942,58.77403846153846,56.73076923076923,0.0,53.60576923076923,384.0
beit_large_patch16_224.in22k_ft_in22k_in1k,Transformer,ImageNet21k,87.478,51.27338877,75.6440281,50.0,68.08510638,52.5911708253359,54.44711538461539,61.41826923076923,0.0,54.08653846153846,224.0
beit_large_patch16_384.in22k_ft_in22k_in1k,Transformer,ImageNet21k,88.402,53.06652807,76.19047619,55.31914894,74.46808511,51.24760076775432,60.09615384615385,54.80769230769231,0.0,64.42307692307692,384.0
